,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,0.9928057553956835,0.9928057553956835,0.9424460431654677,0.9928057553956835,0.9928057553956835,0.9928057553956835
2,2,0.9856115107913669,0.9856115107913669,0.935251798561151,0.9856115107913669,0.9856115107913669,0.9856115107913669
3,3,0.9784172661870504,0.9784172661870504,0.9280575539568345,0.9784172661870504,0.9784172661870504,0.9784172661870504
4,4,0.9712230215827338,0.9712230215827338,0.920863309352518,0.9712230215827338,0.9712230215827338,0.9712230215827338
5,5,0.9640287769784173,0.9640287769784173,0.9136690647482014,0.9640287769784173,0.9640287769784173,0.9640287769784173
6,6,0.9568345323741008,0.9568345323741008,0.9064748201438849,0.9568345323741008,0.9568345323741008,0.9568345323741008
7,7,0.9496402877697842,0.9496402877697842,0.8992805755395683,0.9496402877697842,0.9496402877697842,0.9496402877697842
8,8,0.9424460431654677,0.9424460431654677,0.8920863309352518,0.9424460431654677,0.9424460431654677,0.9424460431654677
9,9,0.935251798561151,0.935251798561151,0.8848920863309353,0.935251798561151,0.935251798561151,0.935251798561151
10,10,0.9280575539568345,0.9280575539568345,0.8776978417266187,0.9280575539568345,0.9280575539568345,0.9280575539568345
11,11,0.920863309352518,0.920863309352518,0.8705035971223022,0.920863309352518,0.920863309352518,0.920863309352518
12,12,0.9136690647482014,0.9136690647482014,0.7769784172661871,0.9136690647482014,0.9136690647482014,0.9136690647482014
13,13,0.9064748201438849,0.9064748201438849,0.7697841726618705,0.9064748201438849,0.9064748201438849,0.9064748201438849
14,14,0.8992805755395683,0.8992805755395683,0.762589928057554,0.8992805755395683,0.8992805755395683,0.8992805755395683
15,15,0.8920863309352518,0.8920863309352518,0.7553956834532374,0.8920863309352518,0.8920863309352518,0.8920863309352518
16,16,0.8848920863309353,0.8848920863309353,0.7482014388489209,0.8848920863309353,0.8848920863309353,0.8848920863309353
17,17,0.8776978417266187,0.8776978417266187,0.5683453237410072,0.8776978417266187,0.8776978417266187,0.8776978417266187
18,18,0.8705035971223022,0.8705035971223022,0.5611510791366907,0.8705035971223022,0.8705035971223022,0.8705035971223022
19,19,0.8633093525179856,0.8633093525179856,0.5539568345323741,0.8633093525179856,0.8633093525179856,0.8633093525179856
20,20,0.8561151079136691,0.8561151079136691,0.5467625899280575,0.4532374100719424,0.8561151079136691,0.8345323741007195
21,21,0.8489208633093526,0.8489208633093526,0.539568345323741,0.4460431654676259,0.8489208633093526,0.8273381294964028
22,22,0.841726618705036,0.841726618705036,0.5323741007194245,0.4388489208633094,0.841726618705036,0.8201438848920863
23,23,0.8345323741007195,0.8345323741007195,0.525179856115108,0.4388489208633094,0.8345323741007195,0.8129496402877698
24,24,0.8273381294964028,0.8273381294964028,0.5179856115107914,0.4316546762589928,0.8273381294964028,0.8057553956834532
25,25,0.8201438848920863,0.8201438848920863,0.5107913669064748,0.4244604316546763,0.8201438848920863,0.7985611510791367
26,26,0.8129496402877698,0.8129496402877698,0.5035971223021583,0.41726618705035967,0.8129496402877698,0.7913669064748201
27,27,0.8057553956834532,0.8057553956834532,0.49640287769784175,0.41007194244604317,0.8057553956834532,0.4388489208633094
28,28,0.7985611510791367,0.7985611510791367,0.29496402877697847,0.40287769784172667,0.7985611510791367,0.4316546762589928
29,29,0.7913669064748201,0.7913669064748201,0.29496402877697847,0.40287769784172667,0.7913669064748201,0.4244604316546763
30,30,0.7841726618705036,0.7841726618705036,0.29496402877697847,0.40287769784172667,0.7841726618705036,0.41726618705035967
31,31,0.7769784172661871,0.7769784172661871,0.29496402877697847,0.39568345323741005,0.39568345323741005,0.3453237410071942
32,32,0.7697841726618705,0.7697841726618705,0.29496402877697847,0.38129496402877694,0.39568345323741005,0.3381294964028777
33,33,0.6762589928057554,0.762589928057554,0.28776978417266186,0.37410071942446044,0.38848920863309355,0.3381294964028777
34,34,0.5899280575539568,0.6690647482014389,0.25899280575539574,0.37410071942446044,0.38129496402877694,0.3309352517985612
35,35,0.5539568345323741,0.5827338129496402,0.2517985611510791,0.36690647482014394,0.37410071942446044,0.3237410071942446
36,36,0.5467625899280575,0.5467625899280575,0.24460431654676262,0.36690647482014394,0.36690647482014394,0.3237410071942446
37,37,0.539568345323741,0.48920863309352514,0.237410071942446,0.2086330935251799,0.3597122302158273,0.3237410071942446
38,38,0.48201438848920863,0.48201438848920863,0.17985611510791366,0.20143884892086328,0.2230215827338129,0.3165467625899281
